,mean,best,std,generation
247,74.74794718873277,93.30322890233344,25.089247390387015,30
248,11.65077862246492,92.39486503108353,30.53171343937516,0
249,21.629082303392746,92.80521039683076,35.824867855587925,1
250,14.760973717962905,92.39486503108353,28.9128590331302,2
251,29.909717630680472,92.42675666571222,37.71156127625922,3
252,27.044881861017974,93.2428317747068,35.99674994907249,4
253,24.257537155224053,93.45679627126202,33.967670157899875,5
254,24.930797259951664,92.48226955283408,34.34244400706232,6
255,30.501098333391198,91.67874178945529,35.1256998760249,7
256,33.630646863631505,92.39486503108353,37.937111891695146,8
257,25.95450488241854,92.67858512203885,33.33816245018915,9
258,29.886328942539894,93.18936470590376,35.85798189388205,10
259,47.81188525219148,92.77052820481505,40.843230483251865,11
260,47.57264075208639,93.07011907701948,37.206363363489096,12
261,39.27849122487918,92.39486503108353,35.13404921993068,13
262,55.6413183200435,92.9224619202987,35.35712625320706,14
263,53.52717805062798,92.39486503108353,34.64358302584337,15
264,53.23915943760007,92.38521039683077,37.323908886671795,16
265,52.77040200207444,92.9038995977956,38.28445231176517,17
266,54.13344315685228,93.31821644970793,37.029756241761646,18
267,57.85648566595254,93.20956741322128,34.73009580554309,19
268,58.927208799389135,92.80521039683076,36.06892827915883,20
269,54.789688491179106,93.43946500072772,37.77495183547277,21
270,52.73794690160895,93.21057091248859,36.51841747977825,22
271,47.44801122331257,92.75185751001958,36.52211800774639,23
272,47.38823793489697,93.2550499825186,35.507237528114054,24
273,54.91391299269585,93.44559716573515,35.157001583340566,25
274,68.00906775432821,92.7866105112725,29.253862769171523,26
275,68.23846028362138,94.29173296930546,31.40465503103317,27
276,65.66069560970092,92.77946500072773,32.73681160890659,28
277,69.4244523886136,93.53212383121043,31.900928227110423,29
278,61.328349538593265,92.96661051127249,32.71147305196907,30
